"emp_no","birth_date","first_name","last_name","gender","hire_date"
10282,"1953-11-27 00:00:00","Hercules","Benzmuller","M","1986-06-04 00:00:00"
11337,"1964-07-31 00:00:00","Hercules","Brendel","F","1994-11-20 00:00:00"
20780,"1954-11-17 00:00:00","Hercules","Baranowski","M","1991-03-09 00:00:00"
21870,"1960-07-06 00:00:00","Hercules","Barreiro","M","1988-11-18 00:00:00"
38161,"1964-10-12 00:00:00","Hercules","Baer","M","1988-02-17 00:00:00"
89382,"1964-09-03 00:00:00","Hercules","Bernardinello","F","1987-02-13 00:00:00"
89844,"1954-03-01 00:00:00","Hercules","Basagni","M","1991-10-25 00:00:00"
90712,"1954-08-28 00:00:00","Hercules","Biran","F","1994-09-07 00:00:00"
210097,"1954-08-27 00:00:00","Hercules","Bernatsky","M","1985-11-27 00:00:00"
213553,"1961-08-14 00:00:00","Hercules","Bail","F","1987-06-16 00:00:00"
236650,"1964-12-24 00:00:00","Hercules","Birge","F","1994-04-13 00:00:00"
241391,"1962-02-27 00:00:00","Hercules","Bisiani","F","1985-07-19 00:00:00"
250175,"1959-02-13 00:00:00","Hercules","Bodoff","M","1985-09-14 00:00:00"
276181,"1957-10-17 00:00:00","Hercules","Biron","F","1994-12-07 00:00:00"
279195,"1964-08-14 00:00:00","Hercules","Buchter","M","1991-04-16 00:00:00"
294352,"1952-07-16 00:00:00","Hercules","Bain","F","1987-10-17 00:00:00"
435221,"1957-10-17 00:00:00","Hercules","Bahr","M","1995-04-06 00:00:00"
482148,"1954-04-05 00:00:00","Hercules","Berstel","F","1989-11-02 00:00:00"
438081,"1960-10-15 00:00:00","Hercules","Baak","M","1991-07-31 00:00:00"
461517,"1963-07-20 00:00:00","Hercules","Benantar","F","1989-06-08 00:00:00"
