"emp_no","birth_date","first_name","last_name","gender","hire_date"
229532,"1964-02-15 00:00:00","Moti","Huxford","M","1986-12-31 00:00:00"
25980,"1953-04-16 00:00:00","Otilia","Vanwelkenhuysen","F","1986-12-31 00:00:00"
452524,"1960-08-19 00:00:00","Nagui","Dredge","F","1986-12-31 00:00:00"
83355,"1961-07-07 00:00:00","Kiyotoshi","Shiratori","M","1986-12-31 00:00:00"
297637,"1962-11-04 00:00:00","Munehiko","Glowinski","F","1986-12-31 00:00:00"
440980,"1953-10-19 00:00:00","Anestis","Zuberek","F","1986-12-31 00:00:00"
67540,"1964-04-10 00:00:00","True","Krichel","F","1986-12-31 00:00:00"
434342,"1958-12-28 00:00:00","Rafail","Rande","M","1986-12-31 00:00:00"
257929,"1963-01-05 00:00:00","Bernice","Bahk","M","1986-12-31 00:00:00"
100673,"1952-02-28 00:00:00","Giri","Jiang","M","1986-12-31 00:00:00"
213387,"1954-12-04 00:00:00","Jacopo","England","M","1986-12-31 00:00:00"
297881,"1960-01-11 00:00:00","Alper","Shiratori","M","1986-12-31 00:00:00"
479136,"1962-12-15 00:00:00","Duri","Cronin","F","1986-12-31 00:00:00"
471960,"1952-12-29 00:00:00","Junichi","Cooley","M","1986-12-31 00:00:00"
467992,"1954-06-25 00:00:00","Mang","Solares","F","1986-12-31 00:00:00"
451651,"1953-09-13 00:00:00","Margareta","Angel","M","1986-12-31 00:00:00"
469317,"1958-05-28 00:00:00","Uriel","Bellmore","M","1986-12-31 00:00:00"
204193,"1964-10-23 00:00:00","Sadun","Demir","M","1986-12-31 00:00:00"
425165,"1957-12-23 00:00:00","Chirstian","Erva","M","1986-12-31 00:00:00"
433926,"1952-06-11 00:00:00","Xiaobin","Alblas","F","1986-12-31 00:00:00"
39948,"1964-01-16 00:00:00","Gino","Rotem","F","1986-12-31 00:00:00"
448623,"1952-09-22 00:00:00","Tetsurou","Taubman","F","1986-12-31 00:00:00"
468351,"1962-10-20 00:00:00","Make","Lagarias","F","1986-12-31 00:00:00"
214867,"1964-10-03 00:00:00","Moti","Perez","M","1986-12-31 00:00:00"
82720,"1960-01-28 00:00:00","Eran","Stentiford","M","1986-12-31 00:00:00"
492362,"1960-07-31 00:00:00","Angus","Avouris","F","1986-12-31 00:00:00"
34878,"1959-07-21 00:00:00","Aamer","Merks","M","1986-12-31 00:00:00"
34055,"1961-12-31 00:00:00","Gregory","Stiles","F","1986-12-31 00:00:00"
97095,"1964-04-15 00:00:00","Phule","Cannata","M","1986-12-31 00:00:00"
12462,"1962-05-02 00:00:00","Zhenhua","Schmittgen","M","1986-12-31 00:00:00"
216350,"1963-01-11 00:00:00","Kenton","Heping","M","1986-12-31 00:00:00"
493163,"1953-04-23 00:00:00","Eirik","Shrader","F","1986-12-31 00:00:00"
477014,"1963-11-12 00:00:00","Guenter","Schieder","M","1986-12-31 00:00:00"
474564,"1960-01-24 00:00:00","Bojan","Rodiger","F","1986-12-31 00:00:00"
471182,"1961-05-13 00:00:00","Moto","Papsdorf","F","1986-12-31 00:00:00"
415645,"1960-12-08 00:00:00","Shiv","Luef","M","1986-12-31 00:00:00"
231790,"1957-08-19 00:00:00","Chuanyi","Speel","M","1986-12-31 00:00:00"
22609,"1955-06-18 00:00:00","Zvonko","Baalen","F","1986-12-31 00:00:00"
447054,"1964-01-01 00:00:00","Khatoun","Wynblatt","F","1986-12-31 00:00:00"
208727,"1958-11-30 00:00:00","Divine","Jervis","F","1986-12-31 00:00:00"
19762,"1958-11-01 00:00:00","Sushant","Valiente","M","1986-12-31 00:00:00"
10856,"1964-03-13 00:00:00","Sreenivas","Peck","F","1986-12-31 00:00:00"
489146,"1959-10-11 00:00:00","Deborah","Anguita","F","1986-12-31 00:00:00"
297482,"1961-01-16 00:00:00","Anwar","Marakhovsky","M","1986-12-31 00:00:00"
90161,"1960-04-22 00:00:00","Berry","Luks","M","1986-12-31 00:00:00"
437010,"1960-01-12 00:00:00","Chinho","Hebert","M","1986-12-31 00:00:00"
238987,"1959-10-14 00:00:00","Seongbae","Koyama","F","1986-12-31 00:00:00"
291977,"1960-02-07 00:00:00","Kinh","Pettis","M","1986-12-31 00:00:00"
76766,"1955-08-25 00:00:00","Sariel","Maierhofer","F","1986-12-31 00:00:00"
456326,"1954-04-08 00:00:00","Huican","Stentiford","F","1986-12-31 00:00:00"
475148,"1953-07-05 00:00:00","Srinidhi","Pero","F","1986-12-31 00:00:00"
33250,"1957-01-03 00:00:00","Harjit","Hofman","M","1986-12-31 00:00:00"
489883,"1959-02-26 00:00:00","Bluma","Sinitsyn","F","1986-12-31 00:00:00"
471536,"1963-07-17 00:00:00","Ebru","Serov","M","1986-12-31 00:00:00"
466463,"1963-02-15 00:00:00","Gay","Gulik","M","1986-12-31 00:00:00"
233591,"1953-10-28 00:00:00","Fox","Lunn","F","1986-12-31 00:00:00"
71424,"1953-04-28 00:00:00","Vishu","Kroha","F","1986-12-31 00:00:00"
450123,"1962-06-24 00:00:00","Maik","Radhakrishnan","M","1986-12-31 00:00:00"
59584,"1960-04-04 00:00:00","Barton","Puoti","M","1986-12-31 00:00:00"
273152,"1958-12-26 00:00:00","Yuuichi","Boreale","F","1986-12-31 00:00:00"
273295,"1963-01-05 00:00:00","Shigeo","Reistad","M","1986-12-31 00:00:00"
441343,"1952-05-01 00:00:00","Yuping","Jiang","F","1986-12-31 00:00:00"
291807,"1964-07-25 00:00:00","Sampalli","Winter","M","1986-12-31 00:00:00"
11671,"1957-08-18 00:00:00","Pranjal","Babu","F","1986-12-31 00:00:00"
274793,"1963-09-20 00:00:00","Joydip","Bierman","M","1986-12-31 00:00:00"
24739,"1957-08-01 00:00:00","Feiyu","Comellas","M","1986-12-31 00:00:00"
104952,"1961-02-22 00:00:00","Moriyoshi","Hopewell","M","1986-12-31 00:00:00"
104557,"1955-11-06 00:00:00","Turgut","Kushnir","M","1986-12-31 00:00:00"
46723,"1958-12-19 00:00:00","Moheb","Itschner","M","1986-12-31 00:00:00"
252672,"1962-02-24 00:00:00","Bangqing","Xiaoshan","M","1986-12-31 00:00:00"
449928,"1953-06-14 00:00:00","Muzhong","Malinowski","M","1986-12-31 00:00:00"
299984,"1961-11-03 00:00:00","Frazer","Birch","M","1986-12-31 00:00:00"
480969,"1958-10-08 00:00:00","Rimli","Eugenio","M","1986-12-31 00:00:00"
439720,"1959-07-21 00:00:00","Nikolaus","Leijenhorst","M","1986-12-31 00:00:00"
19490,"1961-08-02 00:00:00","Odoardo","Heuter","M","1986-12-31 00:00:00"
43955,"1959-03-27 00:00:00","Marl","Domenig","F","1986-12-31 00:00:00"
202429,"1958-09-26 00:00:00","Tristan","Kaiser","M","1986-12-31 00:00:00"
60960,"1954-09-06 00:00:00","Chikara","Flowers","F","1986-12-31 00:00:00"
22035,"1961-07-04 00:00:00","Vatsa","Perl","M","1986-12-31 00:00:00"
224959,"1953-05-26 00:00:00","Guoxiang","Swen","F","1986-12-31 00:00:00"
450517,"1964-11-13 00:00:00","Mayuko","Matzat","F","1986-12-31 00:00:00"
496070,"1957-08-24 00:00:00","Sasan","Garnham","M","1986-12-31 00:00:00"
102510,"1958-05-20 00:00:00","Jayson","Perelgut","M","1986-12-31 00:00:00"
78583,"1953-10-30 00:00:00","Rafols","Oskamp","M","1986-12-31 00:00:00"
464397,"1961-03-19 00:00:00","Xiaocheng","Heuter","F","1986-12-31 00:00:00"
402454,"1963-12-21 00:00:00","Mariangiola","Etalle","F","1986-12-31 00:00:00"
35699,"1962-08-05 00:00:00","Divine","Blokdijk","M","1986-12-31 00:00:00"
448861,"1954-12-18 00:00:00","Odysseas","Noriega","M","1986-12-31 00:00:00"
481820,"1959-01-04 00:00:00","Theron","Bade","M","1986-12-30 00:00:00"
218957,"1957-02-16 00:00:00","Shahar","Picaronny","M","1986-12-30 00:00:00"
71950,"1963-11-29 00:00:00","Bernice","Akaboshi","F","1986-12-30 00:00:00"
204339,"1952-11-13 00:00:00","Arnd","Mellouli","M","1986-12-30 00:00:00"
496282,"1954-01-20 00:00:00","Kotesh","Anguita","M","1986-12-30 00:00:00"
109074,"1962-09-23 00:00:00","Bartek","Suwa","M","1986-12-30 00:00:00"
46830,"1963-11-05 00:00:00","Kirk","Schlegelmilch","F","1986-12-30 00:00:00"
456036,"1952-12-16 00:00:00","Hitofumi","Swist","F","1986-12-30 00:00:00"
56771,"1964-11-25 00:00:00","Gay","Panienski","M","1986-12-30 00:00:00"
400406,"1964-06-24 00:00:00","Conrado","Yoshizawa","F","1986-12-30 00:00:00"
227552,"1963-12-16 00:00:00","Vasiliy","Reinhard","M","1986-12-30 00:00:00"
470838,"1963-05-05 00:00:00","Siamak","Pews","M","1986-12-30 00:00:00"
498614,"1957-11-01 00:00:00","Sudhanshu","Merro","M","1986-12-30 00:00:00"
459904,"1955-05-01 00:00:00","Shahab","Couchot","M","1986-12-30 00:00:00"
290192,"1956-08-26 00:00:00","Jouni","Boreale","M","1986-12-30 00:00:00"
101470,"1952-12-12 00:00:00","Toshiki","Champarnaud","M","1986-12-30 00:00:00"
242598,"1955-10-22 00:00:00","Waiman","Nastansky","M","1986-12-30 00:00:00"
297609,"1960-06-20 00:00:00","Mingzeng","Beerel","M","1986-12-30 00:00:00"
484455,"1956-02-18 00:00:00","Hsiangchu","Perfilyeva","M","1986-12-30 00:00:00"
420547,"1955-08-23 00:00:00","Danae","Ashish","M","1986-12-30 00:00:00"
461328,"1952-08-07 00:00:00","Mohit","McAffer","M","1986-12-30 00:00:00"
79319,"1958-11-28 00:00:00","Lihong","Denos","M","1986-12-30 00:00:00"
298929,"1959-01-21 00:00:00","Amstein","Thombley","M","1986-12-30 00:00:00"
292422,"1957-05-03 00:00:00","Miquel","Tempesti","M","1986-12-30 00:00:00"
207957,"1960-09-21 00:00:00","Rildo","Luders","M","1986-12-30 00:00:00"
489356,"1958-06-15 00:00:00","Eckart","Burnard","F","1986-12-30 00:00:00"
208018,"1954-03-08 00:00:00","Shahar","Plump","F","1986-12-30 00:00:00"
496571,"1958-02-22 00:00:00","Uriel","Turnbull","M","1986-12-30 00:00:00"
458514,"1956-06-17 00:00:00","Youngkon","Matteis","F","1986-12-30 00:00:00"
111133,"1955-03-16 00:00:00","Hauke","Zhang","M","1986-12-30 00:00:00"
84568,"1955-03-29 00:00:00","Denny","Peltason","M","1986-12-30 00:00:00"
209441,"1956-03-03 00:00:00","Shay","Fetvedt","M","1986-12-30 00:00:00"
452448,"1961-10-12 00:00:00","Chandrasekaran","Kaiser","M","1986-12-30 00:00:00"
201659,"1957-09-29 00:00:00","Leandro","Baaleh","F","1986-12-30 00:00:00"
86767,"1956-01-18 00:00:00","Parke","Uhrig","M","1986-12-30 00:00:00"
424077,"1963-02-14 00:00:00","Hideyuki","Oberman","F","1986-12-30 00:00:00"
489503,"1964-04-22 00:00:00","Hongzhu","Herbst","M","1986-12-30 00:00:00"
265925,"1960-11-12 00:00:00","Youngkon","Lakshmanan","F","1986-12-30 00:00:00"
100118,"1955-02-02 00:00:00","Sajjad","Goldhammer","M","1986-12-30 00:00:00"
51696,"1959-08-02 00:00:00","Gina","Alblas","M","1986-12-30 00:00:00"
481527,"1952-10-02 00:00:00","Marco","Mahmud","M","1986-12-30 00:00:00"
76649,"1964-09-23 00:00:00","Sumant","Takanami","M","1986-12-30 00:00:00"
217023,"1954-02-16 00:00:00","Shay","Pleszkun","M","1986-12-30 00:00:00"
271571,"1960-10-15 00:00:00","Nobuyoshi","Mitchem","F","1986-12-30 00:00:00"
52279,"1960-02-23 00:00:00","Duangkaew","Ebeling","M","1986-12-30 00:00:00"
493504,"1955-11-14 00:00:00","Shaz","Pfau","M","1986-12-30 00:00:00"
282267,"1956-08-12 00:00:00","Fuqing","Montemayor","M","1986-12-30 00:00:00"
480041,"1964-11-29 00:00:00","Zdislav","Lortz","M","1986-12-30 00:00:00"
463776,"1956-10-05 00:00:00","Basem","Veeraraghavan","M","1986-12-30 00:00:00"
19060,"1961-07-27 00:00:00","Younwoo","Guenter","M","1986-12-30 00:00:00"
416402,"1960-04-18 00:00:00","Sven","Zumaque","F","1986-12-30 00:00:00"
465250,"1961-01-12 00:00:00","Rosalie","Besancenot","M","1986-12-30 00:00:00"
478455,"1964-10-15 00:00:00","Steen","Luef","M","1986-12-30 00:00:00"
424360,"1961-04-24 00:00:00","Jungsoon","Goldhammer","F","1986-12-30 00:00:00"
20553,"1957-10-26 00:00:00","Zhilian","Rosenbaum","M","1986-12-30 00:00:00"
290919,"1960-11-19 00:00:00","Kish","Farris","M","1986-12-30 00:00:00"
55323,"1955-03-29 00:00:00","Hausi","Staelin","M","1986-12-30 00:00:00"
408160,"1963-10-19 00:00:00","Xiaoheng","Schwabacher","F","1986-12-30 00:00:00"
283716,"1955-02-20 00:00:00","Greger","Hoogerwoord","M","1986-12-30 00:00:00"
221794,"1955-04-02 00:00:00","Nevin","Talmon","F","1986-12-30 00:00:00"
415967,"1962-01-25 00:00:00","Aemilian","Cools","F","1986-12-30 00:00:00"
277894,"1956-07-30 00:00:00","Billie","Talmor","M","1986-12-30 00:00:00"
98750,"1955-08-14 00:00:00","Shooichi","Braccini","F","1986-12-30 00:00:00"
251185,"1962-06-06 00:00:00","Neven","Leppanen","M","1986-12-30 00:00:00"
27149,"1963-04-06 00:00:00","Barton","Hasham","M","1986-12-30 00:00:00"
37575,"1964-02-06 00:00:00","Jaroslava","Speckmann","M","1986-12-30 00:00:00"
467297,"1958-04-23 00:00:00","Yunming","Hempstead","M","1986-12-30 00:00:00"
448510,"1955-06-13 00:00:00","Candido","Bratsberg","M","1986-12-30 00:00:00"
204840,"1961-11-07 00:00:00","Valery","Casperson","F","1986-12-30 00:00:00"
484300,"1963-12-25 00:00:00","Souichi","Shimshoni","M","1986-12-30 00:00:00"
236314,"1959-11-17 00:00:00","Shigeo","Peron","M","1986-12-30 00:00:00"
31605,"1963-11-10 00:00:00","Kwok","Valiente","F","1986-12-30 00:00:00"
94844,"1963-12-08 00:00:00","Sarita","Ghalwash","M","1986-12-30 00:00:00"
97829,"1963-10-06 00:00:00","Van","Sundgren","M","1986-12-30 00:00:00"
215184,"1956-04-30 00:00:00","Akhilish","Kakkar","F","1986-12-30 00:00:00"
36578,"1964-06-18 00:00:00","Radoslaw","Rindone","F","1986-12-30 00:00:00"
260573,"1952-04-28 00:00:00","Abdulla","Lamparter","F","1986-12-30 00:00:00"
495677,"1960-01-23 00:00:00","Arnould","Luks","M","1986-12-30 00:00:00"
222726,"1952-06-01 00:00:00","Kristina","Steenbeek","M","1986-12-30 00:00:00"
438391,"1959-03-24 00:00:00","Bedrich","Syrotiuk","F","1986-12-30 00:00:00"
18969,"1956-03-31 00:00:00","Vitali","Fujisawa","F","1986-12-30 00:00:00"
236555,"1954-09-04 00:00:00","Adamantios","Luga","M","1986-12-30 00:00:00"
406328,"1959-05-08 00:00:00","Souichi","Mersereau","M","1986-12-30 00:00:00"
13323,"1961-02-24 00:00:00","Baruch","Danecki","M","1986-12-30 00:00:00"
434519,"1953-01-22 00:00:00","Zissis","Eiron","M","1986-12-30 00:00:00"
234917,"1964-04-30 00:00:00","Zijian","Marsiglia","F","1986-12-30 00:00:00"
52793,"1959-11-10 00:00:00","Domenick","Gornas","F","1986-12-30 00:00:00"
453941,"1960-07-20 00:00:00","Sashi","Klassen","M","1986-12-30 00:00:00"
50639,"1954-09-25 00:00:00","Fumiko","Kruskal","M","1986-12-30 00:00:00"
109478,"1964-08-09 00:00:00","Jackson","Leivant","F","1986-12-30 00:00:00"
19247,"1958-07-22 00:00:00","Jiong","Ramras","M","1986-12-30 00:00:00"
57052,"1963-05-22 00:00:00","Chiranjit","Narwekar","M","1986-12-30 00:00:00"
435337,"1961-09-07 00:00:00","Masamitsu","Panienski","M","1986-12-30 00:00:00"
44335,"1956-04-13 00:00:00","Jinxi","Erie","M","1986-12-30 00:00:00"
465626,"1959-02-18 00:00:00","Eldridge","Leppanen","M","1986-12-30 00:00:00"
291390,"1959-01-18 00:00:00","Fay","Binkley","F","1986-12-30 00:00:00"
54720,"1961-07-30 00:00:00","Xiaoshan","Nollmann","F","1986-12-30 00:00:00"
299096,"1963-11-11 00:00:00","Krisda","Reghbati","M","1986-12-30 00:00:00"
221608,"1960-01-13 00:00:00","Dharmaraja","Schiper","M","1986-12-30 00:00:00"
91626,"1962-11-10 00:00:00","Baocai","Schaft","F","1986-12-30 00:00:00"
456569,"1952-08-27 00:00:00","Gurbir","Rando","F","1986-12-30 00:00:00"
101108,"1960-06-19 00:00:00","Unal","Zhang","M","1986-12-29 00:00:00"
299938,"1958-09-13 00:00:00","Jeanne","Schach","F","1986-12-29 00:00:00"
421401,"1952-08-05 00:00:00","Jaewon","Litzler","F","1986-12-29 00:00:00"
88361,"1956-02-24 00:00:00","Etsuo","Lambe","F","1986-12-29 00:00:00"
88108,"1957-03-14 00:00:00","Chriss","Spinelli","M","1986-12-29 00:00:00"
31809,"1961-10-03 00:00:00","Guther","Basart","M","1986-12-29 00:00:00"
484932,"1957-09-06 00:00:00","Christoph","Chenney","M","1986-12-29 00:00:00"
259977,"1960-07-13 00:00:00","Annemarie","Selvestrel","M","1986-12-29 00:00:00"
487577,"1955-09-30 00:00:00","Nidapan","Bottner","F","1986-12-29 00:00:00"
207358,"1958-08-10 00:00:00","Junichi","Matzke","F","1986-12-29 00:00:00"
70180,"1952-11-21 00:00:00","Renee","Cichocki","M","1986-12-29 00:00:00"
267826,"1960-04-04 00:00:00","Atreyi","Goldhammer","F","1986-12-29 00:00:00"
200213,"1958-07-25 00:00:00","Denis","Choobineh","M","1986-12-29 00:00:00"
463391,"1963-01-02 00:00:00","Maia","Rullman","M","1986-12-29 00:00:00"
74254,"1961-01-20 00:00:00","Goncalo","Ozeri","M","1986-12-29 00:00:00"
422043,"1964-07-21 00:00:00","Maja","Delgrossi","M","1986-12-29 00:00:00"
205997,"1961-03-18 00:00:00","Chaosheng","Danley","M","1986-12-29 00:00:00"
437899,"1952-12-29 00:00:00","Rafols","Warwick","M","1986-12-29 00:00:00"
268712,"1958-09-28 00:00:00","Francesca","Munawer","M","1986-12-29 00:00:00"
268814,"1962-09-04 00:00:00","Vitaly","Schmiedel","F","1986-12-29 00:00:00"
22569,"1958-08-09 00:00:00","Dayanand","Paludetto","M","1986-12-29 00:00:00"
483858,"1955-07-27 00:00:00","Randy","Papadias","F","1986-12-29 00:00:00"
415359,"1954-04-07 00:00:00","Khatoun","Puoti","M","1986-12-29 00:00:00"
75688,"1953-09-05 00:00:00","Adamantios","Crooks","M","1986-12-29 00:00:00"
109177,"1962-02-13 00:00:00","Sadok","Schapiro","M","1986-12-29 00:00:00"
437107,"1958-01-24 00:00:00","Phule","Knightly","F","1986-12-29 00:00:00"
466037,"1956-02-03 00:00:00","Along","Hatcliff","M","1986-12-29 00:00:00"
437085,"1959-10-28 00:00:00","Insup","Cooman","M","1986-12-29 00:00:00"
456060,"1964-11-30 00:00:00","Eran","Improta","M","1986-12-29 00:00:00"
69333,"1952-04-28 00:00:00","Jianhao","Zirintsis","M","1986-12-29 00:00:00"
255611,"1954-08-05 00:00:00","Hideyuki","Pell","F","1986-12-29 00:00:00"
