"dept_no","dept_name","emp_no","last_name","first_name","from_date","to_date"
"d001","Marketing",110022,"Markovitch","Margareta","1985-01-01 00:00:00","1991-10-01 00:00:00"
"d001","Marketing",110039,"Minakawa","Vishwani","1991-10-01 00:00:00","9999-01-01 00:00:00"
"d002","Finance",110085,"Alpin","Ebru","1985-01-01 00:00:00","1989-12-17 00:00:00"
"d002","Finance",110114,"Legleitner","Isamu","1989-12-17 00:00:00","9999-01-01 00:00:00"
"d003","Human Resources",110183,"Ossenbruggen","Shirish","1985-01-01 00:00:00","1992-03-21 00:00:00"
"d003","Human Resources",110228,"Sigstam","Karsten","1992-03-21 00:00:00","9999-01-01 00:00:00"
"d004","Production",110303,"Wegerle","Krassimir","1985-01-01 00:00:00","1988-09-09 00:00:00"
"d004","Production",110344,"Cools","Rosine","1988-09-09 00:00:00","1992-08-02 00:00:00"
"d004","Production",110386,"Kieras","Shem","1992-08-02 00:00:00","1996-08-30 00:00:00"
"d004","Production",110420,"Ghazalie","Oscar","1996-08-30 00:00:00","9999-01-01 00:00:00"
"d005","Development",110511,"Hagimont","DeForest","1985-01-01 00:00:00","1992-04-25 00:00:00"
"d005","Development",110567,"DasSarma","Leon","1992-04-25 00:00:00","9999-01-01 00:00:00"
"d006","Quality Management",110725,"Onuegbe","Peternela","1985-01-01 00:00:00","1989-05-06 00:00:00"
"d006","Quality Management",110765,"Hofmeyr","Rutger","1989-05-06 00:00:00","1991-09-12 00:00:00"
"d006","Quality Management",110800,"Quadeer","Sanjoy","1991-09-12 00:00:00","1994-06-28 00:00:00"
"d006","Quality Management",110854,"Pesch","Dung","1994-06-28 00:00:00","9999-01-01 00:00:00"
"d007","Sales",111035,"Kaelbling","Przemyslawa","1985-01-01 00:00:00","1991-03-07 00:00:00"
"d007","Sales",111133,"Zhang","Hauke","1991-03-07 00:00:00","9999-01-01 00:00:00"
"d008","Research",111400,"Staelin","Arie","1985-01-01 00:00:00","1991-04-08 00:00:00"
"d008","Research",111534,"Kambil","Hilary","1991-04-08 00:00:00","9999-01-01 00:00:00"
"d009","Customer Service",111692,"Butterworth","Tonny","1985-01-01 00:00:00","1988-10-17 00:00:00"
"d009","Customer Service",111784,"Giarratana","Marjo","1988-10-17 00:00:00","1992-09-08 00:00:00"
"d009","Customer Service",111877,"Spinelli","Xiaobin","1992-09-08 00:00:00","1996-01-03 00:00:00"
"d009","Customer Service",111939,"Weedman","Yuchang","1996-01-03 00:00:00","9999-01-01 00:00:00"
